 LegendreIndex,FromIndex,ToIndex,Value
1,1,1, 6.4340547E-02
1,2,1, 1.0052030E-02
1,2,2, 5.4102020E-02
1,3,2, 1.0038314E-02
1,3,3, 5.4027998E-02
1,4,3, 1.0031478E-02
1,4,4, 5.3974489E-02
1,5,4, 1.0027618E-02
1,5,5, 5.4143880E-02
1,6,5, 1.0027019E-02
1,6,6, 5.4399377E-02
1,7,6, 1.0035331E-02
1,7,7, 5.5004780E-02
1,8,7, 6.1781014E-03
1,8,8, 5.8068743E-02
1,9,8, 4.4834178E-03
1,9,9, 6.0804844E-02
1,10,9, 5.1848637E-03
1,10,10, 5.9116215E-02
1,11,10, 6.3947952E-03
1,11,11, 5.8065801E-02
1,12,11, 6.5625410E-03
1,12,12, 5.7860400E-02
1,13,12, 8.5273578E-03
1,13,13, 5.5785599E-02
1,14,13, 8.5546330E-03
1,14,14, 5.5428542E-02
1,15,14, 8.8633425E-03
1,15,15, 5.4804676E-02
1,16,4, 1.5318918E-13
1,16,5, 6.8938893E-13
1,16,6, 3.1542550E-12
1,16,7, 1.4533085E-11
1,16,8, 6.7228719E-11
1,16,9, 3.1103759E-10
1,16,10, 1.4387946E-09
1,16,11, 6.6369614E-09
1,16,12, 5.9012788E-09
1,16,15, 8.8155991E-03
1,16,16, 5.4179801E-02
1,17,12, 2.0435983E-08
1,17,13, 1.1355779E-07
1,17,14, 4.8095316E-07
1,17,15, 1.8701109E-06
1,17,16, 9.5434407E-03
1,17,17, 5.2136443E-02
1,18,8, 6.6188104E-14
1,18,9, 3.0547208E-13
1,18,10, 1.4130793E-12
1,18,11, 6.5573477E-12
1,18,12, 3.6129646E-11
1,18,13, 1.8821777E-10
1,18,14, 9.0016838E-10
1,18,15, 4.6083923E-09
1,18,16, 2.4920021E-08
1,18,17, 1.0605884E-02
1,18,18, 4.8743833E-02
1,19,9, 5.3796273E-14
1,19,10, 2.4829492E-13
1,19,11, 1.1482384E-12
1,19,12, 4.6721706E-12
1,19,13, 1.1417342E-11
1,19,14, 2.7416551E-11
1,19,15, 7.3006004E-11
1,19,16, 2.8097583E-10
1,19,17, 1.5322707E-07
1,19,18, 1.2458143E-02
1,19,19, 4.8336044E-02
1,20,5, 4.9997922E-14
1,20,6, 3.8103369E-13
1,20,7, 1.5174569E-12
1,20,8, 5.8554989E-12
1,20,9, 2.4735065E-11
1,20,10, 1.0946072E-10
1,20,11, 4.9507548E-10
