 Iso,GroupIndex
1,1, 1.4159977E+03
1,2, 1.0000000E+00
1,3, 1.4119187E+03
1,4, 1.0000000E+00
1,5, 1.4101100E+03
1,6, 1.0000000E+00
1,7, 1.4092201E+03
1,8, 1.0000000E+00
1,9, 1.4087349E+03
1,10, 1.0000000E+00
1,11, 1.4085594E+03
1,12, 1.0000000E+00
1,13, 1.4084548E+03
1,14, 1.0000000E+00
1,15, 1.4083707E+03
1,16, 1.0000000E+00
1,17, 1.4082796E+03
1,18, 1.0000000E+00
1,19, 1.4081206E+03
1,20, 1.0000000E+00
1,21, 1.4077941E+03
1,22, 1.0000000E+00
1,23, 1.4071115E+03
1,24, 1.0000000E+00
1,25, 1.4057151E+03
2,1, 1.0000000E+00
2,2, 1.4026293E+03
2,3, 1.0000000E+00
2,4, 1.3960945E+03
2,5, 1.0000000E+00
2,6, 1.3821642E+03
2,7, 1.0000000E+00
2,8, 1.3539189E+03
2,9, 1.0000000E+00
2,10, 1.3033132E+03
2,11, 1.0000000E+00
2,12, 1.3367675E+03
2,13, 1.0000000E+00
2,14, 1.5144900E+03
2,15, 1.0000000E+00
2,16, 1.3316169E+03
2,17, 1.0000000E+00
2,18, 5.4292238E+02
2,19, 1.0000000E+00
2,20, 6.1242436E+02
2,21, 1.0000000E+00
2,22, 4.9949238E+02
2,23, 1.0000000E+00
2,24, 4.2053681E+02
2,25, 1.0000000E+00
