 LegendreIndex,FromIndex,ToIndex,Value
1,1,1, 1.3054690E-01
1,2,1, 1.0776983E-02
1,2,2, 1.1914864E-01
1,3,2, 1.0754839E-02
1,3,3, 1.1808124E-01
1,4,3, 1.0729770E-02
1,4,4, 1.1485398E-01
1,5,4, 1.0855469E-02
1,5,5, 1.1822659E-01
1,6,5, 1.0762606E-02
1,6,6, 1.0921234E-01
1,7,6, 1.1030021E-02
1,7,7, 1.3260201E-01
1,8,7, 6.7288395E-03
1,8,8, 1.2447938E-01
1,9,8, 4.5240529E-03
1,9,9, 1.4678439E-01
1,10,9, 5.6666727E-03
1,10,10, 1.4669611E-01
1,11,10, 6.9230420E-03
1,11,11, 1.3798813E-01
1,12,11, 7.2149752E-03
1,12,12, 1.4267601E-01
1,13,12, 9.3681844E-03
1,13,13, 1.5104724E-01
1,14,13, 9.3644358E-03
1,14,14, 1.4549126E-01
1,15,5, 1.5431473E-13
1,15,6, 7.1487171E-13
1,15,7, 3.3125408E-12
1,15,8, 1.5339093E-11
1,15,9, 7.0895554E-11
1,15,10, 3.2609384E-10
1,15,11, 1.4856995E-09
1,15,12, 6.5743606E-09
1,15,13, 2.5187177E-08
1,15,14, 9.7003906E-03
1,15,15, 1.4553675E-01
1,16,4, 2.4037064E-11
1,16,5, 1.0817135E-10
1,16,6, 4.9378298E-10
1,16,7, 2.2701274E-09
1,16,8, 1.0500906E-08
1,16,9, 4.8583051E-08
1,16,10, 2.2473500E-07
1,16,11, 1.0366716E-06
1,16,12, 9.2176041E-07
1,16,14, 2.3309151E-08
1,16,15, 9.6831114E-03
1,16,16, 1.4399009E-01
1,17,1, 1.1665773E-13
1,17,2, 2.4461991E-13
1,17,3, 6.9231885E-13
1,17,4, 1.5616142E-12
1,17,5, 3.4310080E-12
1,17,6, 8.6743038E-12
1,17,7, 2.6621803E-11
1,17,8, 8.5514414E-11
1,17,9, 3.1373812E-10
1,17,10, 1.3080879E-09
1,17,11, 5.9543909E-09
1,17,12, 3.2192234E-06
1,17,13, 1.7856069E-05
1,17,14, 7.5531434E-05
1,17,15, 2.9325306E-04
1,17,16, 1.1407347E-02
1,17,17, 1.3662601E-01
1,18,6, 6.9006010E-13
1,18,7, 3.5876301E-12
1,18,8, 2.7622640E-11
1,18,9, 1.2920952E-10
1,18,10, 6.0134774E-10
1,18,11, 2.7906032E-09
1,18,12, 1.3577272E-08
1,18,13, 6.0010498E-08
1,18,14, 2.7701662E-07
1,18,15, 1.3122335E-06
1,18,16, 6.0413595E-06
1,18,17, 1.3691622E-02
1,18,18, 1.2584781E-01
1,19,6, 1.1132048E-13
1,19,7, 7.9312489E-13
1,19,8, 3.9225519E-12
1,19,9, 2.6785552E-11
1,19,10, 1.2439840E-10
1,19,11, 5.7665224E-10
1,19,12, 2.7959529E-09
1,19,13, 1.5353265E-08
1,19,14, 5.2051614E-08
1,19,15, 1.8183003E-07
1,19,16, 8.8721573E-07
1,19,17, 2.8007285E-05
1,19,18, 1.5214818E-02
1,19,19, 1.1629286E-01
1,20,3, 8.4199611E-14
1,20,4, 2.9271083E-13
1,20,5, 8.7475911E-12
1,20,6, 6.2512845E-11
1,20,7, 2.4537853E-10
1,20,8, 9.4109026E-10
1,20,9, 3.9517171E-09
1,20,10, 1.7389623E-08
1,20,11, 7.8319093E-08
1,20,12, 3.2653344E-07
1,20,13, 1.3600609E-06
1,20,14, 5.5082081E-06
1,20,15, 1.8431604E-05
1,20,16, 5.3362119E-05
1,20,17, 1.4235821E-04
1,20,18, 5.0972467E-05
1,20,19, 1.5620292E-02
1,20,20, 1.1609736E-01
1,21,3, 1.2444581E-13
1,21,4, 5.4295416E-13
1,21,5, 3.0187975E-11
1,21,6, 1.5759568E-10
1,21,7, 7.7836840E-10
1,21,8, 3.2119511E-09
1,21,9, 1.3924396E-08
1,21,10, 6.1996139E-08
1,21,11, 2.6497142E-07
1,21,12, 9.5875029E-07
